[31-Jul-2016 20:25:33 UTC] PHP Warning:  require(/home/ubuntu/workspace/blog/bootstrap/../vendor/autoload.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/blog/bootstrap/autoload.php on line 17
[31-Jul-2016 21:28:07 UTC] PHP  15. Illuminate\Routing\Router->dispatchToRoute() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Routing/Router.php:675
[31-Jul-2016 21:28:07 UTC] PHP  16. Illuminate\Routing\Router->runRouteWithinStack() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Routing/Router.php:699
[31-Jul-2016 21:28:07 UTC] PHP  17. Illuminate\Pipeline\Pipeline->then() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Routing/Router.php:726
[31-Jul-2016 21:28:07 UTC] PHP  18. call_user_func:{/home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103}() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[31-Jul-2016 21:28:07 UTC] PHP  19. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure}() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[31-Jul-2016 21:28:07 UTC] PHP  20. call_user_func:{/home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32}() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32
[31-Jul-2016 21:28:07 UTC] PHP  21. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32
[31-Jul-2016 21:28:07 UTC] PHP  22. call_user_func_array:{/home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136}() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136
[31-Jul-2016 21:28:07 UTC] PHP  23. Illuminate\Cookie\Middleware\EncryptCookies->handle() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136
[31-Jul-2016 21:28:07 UTC] PHP  24. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure}() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Cookie/Middleware/EncryptCookies.php:59
[31-Jul-2016 21:28:07 UTC] PHP  25. call_user_func:{/home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32}() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32
[31-Jul-2016 21:28:07 UTC] PHP  26. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32
[31-Jul-2016 21:28:07 UTC] PHP  27. call_user_func_array:{/home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136}() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136
[31-Jul-2016 21:28:07 UTC] PHP  28. Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse->handle() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136
[31-Jul-2016 21:28:07 UTC] PHP  29. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure}() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Cookie/Middleware/AddQueuedCookiesToResponse.php:37
[31-Jul-2016 21:28:07 UTC] PHP  30. call_user_func:{/home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32}() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32
[31-Jul-2016 21:28:07 UTC] PHP  31. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32
[31-Jul-2016 21:28:07 UTC] PHP  32. call_user_func_array:{/home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136}() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136
[31-Jul-2016 21:28:07 UTC] PHP  33. Illuminate\Session\Middleware\StartSession->handle() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136
[31-Jul-2016 21:28:07 UTC] PHP  34. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure}() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Session/Middleware/StartSession.php:64
[31-Jul-2016 21:28:07 UTC] PHP  35. call_user_func:{/home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32}() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32
[31-Jul-2016 21:28:07 UTC] PHP  36. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32
[31-Jul-2016 21:28:07 UTC] PHP  37. call_user_func_array:{/home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136}() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136
[31-Jul-2016 21:28:07 UTC] PHP  38. Illuminate\View\Middleware\ShareErrorsFromSession->handle() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136
[31-Jul-2016 21:28:07 UTC] PHP  39. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure}() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/View/Middleware/ShareErrorsFromSession.php:49
[31-Jul-2016 21:28:07 UTC] PHP  40. call_user_func:{/home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32}() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32
[31-Jul-2016 21:28:07 UTC] PHP  41. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32
[31-Jul-2016 21:28:07 UTC] PHP  42. call_user_func_array:{/home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136}() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136
[31-Jul-2016 21:28:07 UTC] PHP  43. Illuminate\Foundation\Http\Middleware\VerifyCsrfToken->handle() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136
[31-Jul-2016 21:28:07 UTC] PHP  44. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure}() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/VerifyCsrfToken.php:64
[31-Jul-2016 21:28:07 UTC] PHP  45. call_user_func:{/home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:52}() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:52
[31-Jul-2016 21:28:07 UTC] PHP  46. Illuminate\Routing\Router->Illuminate\Routing\{closure}() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:52
[31-Jul-2016 21:28:07 UTC] PHP  47. Illuminate\Routing\Route->run() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Routing/Router.php:724
[31-Jul-2016 21:28:07 UTC] PHP  48. Illuminate\Routing\Route->runCallable() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Routing/Route.php:137
[31-Jul-2016 21:28:07 UTC] PHP  49. call_user_func_array:{/home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Routing/Route.php:158}() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Routing/Route.php:158
[31-Jul-2016 21:28:07 UTC] PHP  50. App\Providers\RouteServiceProvider->{closure:/home/ubuntu/workspace/blog/app/Http/routes.php:14-20}() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Routing/Route.php:158
[31-Jul-2016 21:28:08 UTC] PHP Fatal error:  Class 'Task' not found in /home/ubuntu/workspace/blog/app/Http/routes.php on line 15
[31-Jul-2016 21:28:08 UTC] PHP Stack trace:
[31-Jul-2016 21:28:08 UTC] PHP   1. {main}() /home/ubuntu/workspace/blog/public/index.php:0
[31-Jul-2016 21:28:08 UTC] PHP   2. Illuminate\Foundation\Http\Kernel->handle() /home/ubuntu/workspace/blog/public/index.php:54
[31-Jul-2016 21:28:08 UTC] PHP   3. Illuminate\Foundation\Http\Kernel->sendRequestThroughRouter() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:99
[31-Jul-2016 21:28:08 UTC] PHP   4. Illuminate\Pipeline\Pipeline->then() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:132
[31-Jul-2016 21:28:08 UTC] PHP   5. call_user_func:{/home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103}() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[31-Jul-2016 21:28:08 UTC] PHP   6. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure}() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[31-Jul-2016 21:28:08 UTC] PHP   7. call_user_func:{/home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32}() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32
[31-Jul-2016 21:28:08 UTC] PHP   8. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32
[31-Jul-2016 21:28:08 UTC] PHP   9. call_user_func_array:{/home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136}() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136
[31-Jul-2016 21:28:08 UTC] PHP  10. Illuminate\Foundation\Http\Middleware\CheckForMaintenanceMode->handle() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136
[31-Jul-2016 21:28:08 UTC] PHP  11. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure}() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/CheckForMaintenanceMode.php:44
[31-Jul-2016 21:28:08 UTC] PHP  12. call_user_func:{/home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:52}() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:52
[31-Jul-2016 21:28:08 UTC] PHP  13. Illuminate\Foundation\Http\Kernel->Illuminate\Foundation\Http\{closure}() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:52
[31-Jul-2016 21:28:08 UTC] PHP  14. Illuminate\Routing\Router->dispatch() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:246
[31-Jul-2016 21:28:08 UTC] PHP  15. Illuminate\Routing\Router->dispatchToRoute() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Routing/Router.php:675
[31-Jul-2016 21:28:08 UTC] PHP  16. Illuminate\Routing\Router->runRouteWithinStack() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Routing/Router.php:699
[31-Jul-2016 21:28:08 UTC] PHP  17. Illuminate\Pipeline\Pipeline->then() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Routing/Router.php:726
[31-Jul-2016 21:28:08 UTC] PHP  18. call_user_func:{/home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103}() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[31-Jul-2016 21:28:08 UTC] PHP  19. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure}() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[31-Jul-2016 21:28:08 UTC] PHP  20. call_user_func:{/home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32}() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32
[31-Jul-2016 21:28:08 UTC] PHP  21. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32
[31-Jul-2016 21:28:08 UTC] PHP  22. call_user_func_array:{/home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136}() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136
[31-Jul-2016 21:28:08 UTC] PHP  23. Illuminate\Cookie\Middleware\EncryptCookies->handle() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136
[31-Jul-2016 21:28:08 UTC] PHP  24. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure}() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Cookie/Middleware/EncryptCookies.php:59
[31-Jul-2016 21:28:08 UTC] PHP  25. call_user_func:{/home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32}() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32
[31-Jul-2016 21:28:08 UTC] PHP  26. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32
[31-Jul-2016 21:28:08 UTC] PHP  27. call_user_func_array:{/home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136}() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136
[31-Jul-2016 21:28:08 UTC] PHP  28. Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse->handle() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136
[31-Jul-2016 21:28:08 UTC] PHP  29. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure}() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Cookie/Middleware/AddQueuedCookiesToResponse.php:37
[31-Jul-2016 21:28:08 UTC] PHP  30. call_user_func:{/home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32}() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32
[31-Jul-2016 21:28:08 UTC] PHP  31. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32
[31-Jul-2016 21:28:08 UTC] PHP  32. call_user_func_array:{/home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136}() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136
[31-Jul-2016 21:28:08 UTC] PHP  33. Illuminate\Session\Middleware\StartSession->handle() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136
[31-Jul-2016 21:28:08 UTC] PHP  34. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure}() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Session/Middleware/StartSession.php:64
[31-Jul-2016 21:28:08 UTC] PHP  35. call_user_func:{/home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32}() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32
[31-Jul-2016 21:28:08 UTC] PHP  36. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32
[31-Jul-2016 21:28:08 UTC] PHP  37. call_user_func_array:{/home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136}() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136
[31-Jul-2016 21:28:08 UTC] PHP  38. Illuminate\View\Middleware\ShareErrorsFromSession->handle() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136
[31-Jul-2016 21:28:08 UTC] PHP  39. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure}() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/View/Middleware/ShareErrorsFromSession.php:49
[31-Jul-2016 21:28:08 UTC] PHP  40. call_user_func:{/home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32}() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32
[31-Jul-2016 21:28:08 UTC] PHP  41. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32
[31-Jul-2016 21:28:08 UTC] PHP  42. call_user_func_array:{/home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136}() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136
[31-Jul-2016 21:28:08 UTC] PHP  43. Illuminate\Foundation\Http\Middleware\VerifyCsrfToken->handle() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136
[31-Jul-2016 21:28:08 UTC] PHP  44. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure}() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/VerifyCsrfToken.php:64
[31-Jul-2016 21:28:08 UTC] PHP  45. call_user_func:{/home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:52}() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:52
[31-Jul-2016 21:28:08 UTC] PHP  46. Illuminate\Routing\Router->Illuminate\Routing\{closure}() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:52
[31-Jul-2016 21:28:08 UTC] PHP  47. Illuminate\Routing\Route->run() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Routing/Router.php:724
[31-Jul-2016 21:28:08 UTC] PHP  48. Illuminate\Routing\Route->runCallable() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Routing/Route.php:137
[31-Jul-2016 21:28:08 UTC] PHP  49. call_user_func_array:{/home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Routing/Route.php:158}() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Routing/Route.php:158
[31-Jul-2016 21:28:08 UTC] PHP  50. App\Providers\RouteServiceProvider->{closure:/home/ubuntu/workspace/blog/app/Http/routes.php:14-20}() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Routing/Route.php:158
[31-Jul-2016 21:28:09 UTC] PHP Fatal error:  Class 'Task' not found in /home/ubuntu/workspace/blog/app/Http/routes.php on line 15
[31-Jul-2016 21:28:09 UTC] PHP Stack trace:
[31-Jul-2016 21:28:09 UTC] PHP   1. {main}() /home/ubuntu/workspace/blog/public/index.php:0
[31-Jul-2016 21:28:09 UTC] PHP   2. Illuminate\Foundation\Http\Kernel->handle() /home/ubuntu/workspace/blog/public/index.php:54
[31-Jul-2016 21:28:09 UTC] PHP   3. Illuminate\Foundation\Http\Kernel->sendRequestThroughRouter() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:99
[31-Jul-2016 21:28:09 UTC] PHP   4. Illuminate\Pipeline\Pipeline->then() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:132
[31-Jul-2016 21:28:09 UTC] PHP   5. call_user_func:{/home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103}() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[31-Jul-2016 21:28:09 UTC] PHP   6. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure}() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[31-Jul-2016 21:28:09 UTC] PHP   7. call_user_func:{/home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32}() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32
[31-Jul-2016 21:28:09 UTC] PHP   8. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32
[31-Jul-2016 21:28:09 UTC] PHP   9. call_user_func_array:{/home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136}() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136
[31-Jul-2016 21:28:09 UTC] PHP  10. Illuminate\Foundation\Http\Middleware\CheckForMaintenanceMode->handle() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136
[31-Jul-2016 21:28:09 UTC] PHP  11. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure}() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/CheckForMaintenanceMode.php:44
[31-Jul-2016 21:28:09 UTC] PHP  12. call_user_func:{/home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:52}() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:52
[31-Jul-2016 21:28:09 UTC] PHP  13. Illuminate\Foundation\Http\Kernel->Illuminate\Foundation\Http\{closure}() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:52
[31-Jul-2016 21:28:09 UTC] PHP  14. Illuminate\Routing\Router->dispatch() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:246
[31-Jul-2016 21:28:09 UTC] PHP  15. Illuminate\Routing\Router->dispatchToRoute() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Routing/Router.php:675
[31-Jul-2016 21:28:09 UTC] PHP  16. Illuminate\Routing\Router->runRouteWithinStack() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Routing/Router.php:699
[31-Jul-2016 21:28:09 UTC] PHP  17. Illuminate\Pipeline\Pipeline->then() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Routing/Router.php:726
[31-Jul-2016 21:28:09 UTC] PHP  18. call_user_func:{/home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103}() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[31-Jul-2016 21:28:09 UTC] PHP  19. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure}() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[31-Jul-2016 21:28:09 UTC] PHP  20. call_user_func:{/home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32}() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32
[31-Jul-2016 21:28:09 UTC] PHP  21. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32
[31-Jul-2016 21:28:09 UTC] PHP  22. call_user_func_array:{/home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136}() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136
[31-Jul-2016 21:28:09 UTC] PHP  23. Illuminate\Cookie\Middleware\EncryptCookies->handle() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136
[31-Jul-2016 21:28:09 UTC] PHP  24. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure}() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Cookie/Middleware/EncryptCookies.php:59
[31-Jul-2016 21:28:09 UTC] PHP  25. call_user_func:{/home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32}() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32
[31-Jul-2016 21:28:09 UTC] PHP  26. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32
[31-Jul-2016 21:28:09 UTC] PHP  27. call_user_func_array:{/home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136}() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136
[31-Jul-2016 21:28:09 UTC] PHP  28. Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse->handle() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136
[31-Jul-2016 21:28:09 UTC] PHP  29. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure}() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Cookie/Middleware/AddQueuedCookiesToResponse.php:37
[31-Jul-2016 21:28:09 UTC] PHP  30. call_user_func:{/home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32}() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32
[31-Jul-2016 21:28:09 UTC] PHP  31. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32
[31-Jul-2016 21:28:09 UTC] PHP  32. call_user_func_array:{/home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136}() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136
[31-Jul-2016 21:28:09 UTC] PHP  33. Illuminate\Session\Middleware\StartSession->handle() /home/ubuntu/workspace/blog/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136
